Borderlands: The Pre-Sequel,261640
太吾绘卷 The Scroll Of Taiwu,838350
Batman: Arkham Asylum GOTY Edition,35140
Crossout,386180
Golf With Your Friends,431240
Batman™: Arkham Origins,209000
Amnesia: The Dark Descent,57300
Call of Duty: Modern Warfare 3,115300
Magicka,42910
Total War: SHOGUN 2,34330
ORION: Prelude,104900
Creativerse,280790
Age of Empires® III: Complete Collection,105450
Spore,17390
Awesomenauts,204300
Business Tour - Online Multiplayer Board Game,397900
BioShock,7670
Call of Duty: Modern Warfare 3,42680
Fallout 3 - Game of the Year Edition,22370
Mirror's Edge,17410
Shadow Warrior,233130
FINAL FANTASY XIV Online,39210
Cuisine Royale,884660
Arma 2: Operation Arrowhead,33930
Total War: EMPIRE - Definitive Edition,10500
Football Manager 2020,1100600
Alien Swarm,630
Serious Sam 3: BFE,41070
Trine 2,35720
Layers of Fear,391720
Call of Duty: Black Ops,42700
Spiral Knights,99900
Magic Duels,316010
KurtzPel,844870
Yu-Gi-Oh! Duel Links,601510
STAR WARS™: Knights of the Old Republic™,32370
BLOCKADE 3D,302830
The Expendabros,312990
Fishing Planet,380600
Total War: MEDIEVAL II - Definitive Edition,4700
Sven Co-op,225840
Titan Quest Anniversary Edition,475150
Iron Snout,424280
Call of Duty: Black Ops - Multiplayer,42710
Orcs Must Die! 2,201790
Transformice,335240
Brütal Legend,225260
Guns of Icarus Online,209080
NBA 2K20,1089350
Dungeon Defenders II,236110
World of Guns: Gun Disassembly,262410
Codename CURE,355180
Blacklight: Retribution,209870
Toribash,248570
"Warhammer 40,000: Space Marine",55150
Sanctum 2,210770
Survarium,355840
Last Man Standing,506540
Blender,365670
Block N Load,299360
DC Universe Online,24200
Total War: NAPOLEON - Definitive Edition,34030
Dead Space,17470
Quake Live,282440
Tree of Savior (English Ver.),372000
Sins of a Solar Empire: Rebellion,204880
Alien Swarm: Reactive Drop,563560
Saints Row 2,9480
TrackMania Nations Forever,11020
WARMODE,391460
Double Action: Boogaloo,317360
The Awesome Adventures of Captain Spirit,845070
Orwell,491950
Gotham City Impostors: Free To Play,206210
Star Conflict,212070
